idx	op_type	name	inputs	outputs
84	Mul	/text_encoder/convnext/convnext.3/act/Mul	['/text_encoder/convnext/convnext.3/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.3/act/Add_output_0']	['/text_encoder/convnext/convnext.3/act/Mul_output_0']
85	Mul	/text_encoder/convnext/convnext.3/act/Mul_1	['/text_encoder/convnext/convnext.3/act/Mul_output_0', '/text_encoder/convnext/convnext.0/act/Constant_2_output_0']	['/text_encoder/convnext/convnext.3/act/Mul_1_output_0']
86	Conv	/text_encoder/convnext/convnext.3/pwconv2/Conv	['/text_encoder/convnext/convnext.3/act/Mul_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.3.pwconv2.weight', 'tts.ttl.text_encoder.convnext.convnext.3.pwconv2.bias']	['/text_encoder/convnext/convnext.3/pwconv2/Conv_output_0']
87	Mul	/text_encoder/convnext/convnext.3/Mul_2	['tts.ttl.text_encoder.convnext.convnext.3.gamma', '/text_encoder/convnext/convnext.3/pwconv2/Conv_output_0']	['/text_encoder/convnext/convnext.3/Mul_2_output_0']
88	Add	/text_encoder/convnext/convnext.3/Add	['/text_encoder/convnext/convnext.3/Mul_output_0', '/text_encoder/convnext/convnext.3/Mul_2_output_0']	['/text_encoder/convnext/convnext.3/Add_output_0']
89	Mul	/text_encoder/convnext/convnext.3/Mul_3	['/text_encoder/convnext/convnext.3/Add_output_0', 'text_mask']	['/text_encoder/convnext/convnext.3/Mul_3_output_0']
90	Mul	/text_encoder/convnext/convnext.4/Mul	['/text_encoder/convnext/convnext.3/Mul_3_output_0', 'text_mask']	['/text_encoder/convnext/convnext.4/Mul_output_0']
91	Pad	/text_encoder/convnext/convnext.4/dwconv/Pad	['/text_encoder/convnext/convnext.4/Mul_output_0', '/text_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/text_encoder/convnext/convnext.4/dwconv/Pad_output_0']
92	Conv	/text_encoder/convnext/convnext.4/dwconv/Conv	['/text_encoder/convnext/convnext.4/dwconv/Pad_output_0', 'tts.ttl.text_encoder.convnext.convnext.4.dwconv.weight', 'tts.ttl.text_encoder.convnext.convnext.4.dwconv.bias']	['/text_encoder/convnext/convnext.4/dwconv/Conv_output_0']
93	Mul	/text_encoder/convnext/convnext.4/Mul_1	['/text_encoder/convnext/convnext.4/dwconv/Conv_output_0', 'text_mask']	['/text_encoder/convnext/convnext.4/Mul_1_output_0']
94	Transpose	/text_encoder/convnext/convnext.4/norm/Transpose	['/text_encoder/convnext/convnext.4/Mul_1_output_0']	['/text_encoder/convnext/convnext.4/norm/Transpose_output_0']
95	LayerNormalization	/text_encoder/convnext/convnext.4/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.4/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.4.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.4.norm.norm.bias']	['/text_encoder/convnext/convnext.4/norm/norm/LayerNormalization_output_0']
96	Transpose	/text_encoder/convnext/convnext.4/norm/Transpose_1	['/text_encoder/convnext/convnext.4/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.4/norm/Transpose_1_output_0']
97	Conv	/text_encoder/convnext/convnext.4/pwconv1/Conv	['/text_encoder/convnext/convnext.4/norm/Transpose_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.4.pwconv1.weight', 'tts.ttl.text_encoder.convnext.convnext.4.pwconv1.bias']	['/text_encoder/convnext/convnext.4/pwconv1/Conv_output_0']
98	Div	/text_encoder/convnext/convnext.4/act/Div	['/text_encoder/convnext/convnext.4/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Constant_output_0']	['/text_encoder/convnext/convnext.4/act/Div_output_0']
99	Erf	/text_encoder/convnext/convnext.4/act/Erf	['/text_encoder/convnext/convnext.4/act/Div_output_0']	['/text_encoder/convnext/convnext.4/act/Erf_output_0']
100	Add	/text_encoder/convnext/convnext.4/act/Add	['/text_encoder/convnext/convnext.4/act/Erf_output_0', '/text_encoder/convnext/convnext.0/act/Constant_1_output_0']	['/text_encoder/convnext/convnext.4/act/Add_output_0']
101	Mul	/text_encoder/convnext/convnext.4/act/Mul	['/text_encoder/convnext/convnext.4/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.4/act/Add_output_0']	['/text_encoder/convnext/convnext.4/act/Mul_output_0']
102	Mul	/text_encoder/convnext/convnext.4/act/Mul_1	['/text_encoder/convnext/convnext.4/act/Mul_output_0', '/text_encoder/convnext/convnext.0/act/Constant_2_output_0']	['/text_encoder/convnext/convnext.4/act/Mul_1_output_0']
103	Conv	/text_encoder/convnext/convnext.4/pwconv2/Conv	['/text_encoder/convnext/convnext.4/act/Mul_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.4.pwconv2.weight', 'tts.ttl.text_encoder.convnext.convnext.4.pwconv2.bias']	['/text_encoder/convnext/convnext.4/pwconv2/Conv_output_0']
104	Mul	/text_encoder/convnext/convnext.4/Mul_2	['tts.ttl.text_encoder.convnext.convnext.4.gamma', '/text_encoder/convnext/convnext.4/pwconv2/Conv_output_0']	['/text_encoder/convnext/convnext.4/Mul_2_output_0']
105	Add	/text_encoder/convnext/convnext.4/Add	['/text_encoder/convnext/convnext.4/Mul_output_0', '/text_encoder/convnext/convnext.4/Mul_2_output_0']	['/text_encoder/convnext/convnext.4/Add_output_0']
106	Mul	/text_encoder/convnext/convnext.4/Mul_3	['/text_encoder/convnext/convnext.4/Add_output_0', 'text_mask']	['/text_encoder/convnext/convnext.4/Mul_3_output_0']
107	Mul	/text_encoder/convnext/convnext.5/Mul	['/text_encoder/convnext/convnext.4/Mul_3_output_0', 'text_mask']	['/text_encoder/convnext/convnext.5/Mul_output_0']
108	Pad	/text_encoder/convnext/convnext.5/dwconv/Pad	['/text_encoder/convnext/convnext.5/Mul_output_0', '/text_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/text_encoder/convnext/convnext.5/dwconv/Pad_output_0']
109	Conv	/text_encoder/convnext/convnext.5/dwconv/Conv	['/text_encoder/convnext/convnext.5/dwconv/Pad_output_0', 'tts.ttl.text_encoder.convnext.convnext.5.dwconv.weight', 'tts.ttl.text_encoder.convnext.convnext.5.dwconv.bias']	['/text_encoder/convnext/convnext.5/dwconv/Conv_output_0']
110	Mul	/text_encoder/convnext/convnext.5/Mul_1	['/text_encoder/convnext/convnext.5/dwconv/Conv_output_0', 'text_mask']	['/text_encoder/convnext/convnext.5/Mul_1_output_0']
111	Transpose	/text_encoder/convnext/convnext.5/norm/Transpose	['/text_encoder/convnext/convnext.5/Mul_1_output_0']	['/text_encoder/convnext/convnext.5/norm/Transpose_output_0']
112	LayerNormalization	/text_encoder/convnext/convnext.5/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.5/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.5.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.5.norm.norm.bias']	['/text_encoder/convnext/convnext.5/norm/norm/LayerNormalization_output_0']
113	Transpose	/text_encoder/convnext/convnext.5/norm/Transpose_1	['/text_encoder/convnext/convnext.5/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.5/norm/Transpose_1_output_0']
114	Conv	/text_encoder/convnext/convnext.5/pwconv1/Conv	['/text_encoder/convnext/convnext.5/norm/Transpose_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.5.pwconv1.weight', 'tts.ttl.text_encoder.convnext.convnext.5.pwconv1.bias']	['/text_encoder/convnext/convnext.5/pwconv1/Conv_output_0']
115	Div	/text_encoder/convnext/convnext.5/act/Div	['/text_encoder/convnext/convnext.5/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Constant_output_0']	['/text_encoder/convnext/convnext.5/act/Div_output_0']
116	Erf	/text_encoder/convnext/convnext.5/act/Erf	['/text_encoder/convnext/convnext.5/act/Div_output_0']	['/text_encoder/convnext/convnext.5/act/Erf_output_0']
