name	shape	dtype	nbytes	numel
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_k.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_k.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_v.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_v.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.3.emb_rel_k	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.3.emb_rel_v	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_o.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_o.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.3.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.3.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.ffn_layers.3.conv_1.weight	[1024, 256, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.3.conv_1.bias	[1024]	float32	4096	1024
tts.ttl.text_encoder.attn_encoder.ffn_layers.3.conv_2.weight	[256, 1024, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.3.conv_2.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.3.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.3.norm.bias	[256]	float32	1024	256
onnx::MatMul_3678	[256, 256]	float32	262144	65536
tts.ttl.speech_prompted_text_encoder.attention1.W_query.linear.bias	[256]	float32	1024	256
/speech_prompted_text_encoder/attention1/tanh/Tanh_output_0	[2, 1, 128, 50]	float32	51200	12800
/speech_prompted_text_encoder/attention1/Constant_9_output_0	[]	float32	4	1
/speech_prompted_text_encoder/attention1/Constant_13_output_0	[2]	int64	16	2
onnx::MatMul_3681	[256, 256]	float32	262144	65536
tts.ttl.speech_prompted_text_encoder.attention1.out_fc.linear.bias	[256]	float32	1024	256
onnx::MatMul_3682	[256, 256]	float32	262144	65536
tts.ttl.speech_prompted_text_encoder.attention2.W_query.linear.bias	[256]	float32	1024	256
/speech_prompted_text_encoder/attention2/tanh/Tanh_output_0	[2, 1, 128, 50]	float32	51200	12800
onnx::MatMul_3685	[256, 256]	float32	262144	65536
tts.ttl.speech_prompted_text_encoder.attention2.out_fc.linear.bias	[256]	float32	1024	256
tts.ttl.speech_prompted_text_encoder.norm.norm.weight	[256]	float32	1024	256
tts.ttl.speech_prompted_text_encoder.norm.norm.bias	[256]	float32	1024	256
