idx	op_type	name	inputs	outputs
64	LayerNormalization	/decoder/convnext.3/norm/norm/LayerNormalization	['/decoder/convnext.3/norm/Transpose_output_0', 'tts.ae.decoder.convnext.3.norm.norm.weight', 'tts.ae.decoder.convnext.3.norm.norm.bias']	['/decoder/convnext.3/norm/norm/LayerNormalization_output_0']
65	Transpose	/decoder/convnext.3/norm/Transpose_1	['/decoder/convnext.3/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.3/norm/Transpose_1_output_0']
66	Conv	/decoder/convnext.3/pwconv1/Conv	['/decoder/convnext.3/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.3.pwconv1.weight', 'tts.ae.decoder.convnext.3.pwconv1.bias']	['/decoder/convnext.3/pwconv1/Conv_output_0']
67	Div	/decoder/convnext.3/act/Div	['/decoder/convnext.3/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.3/act/Div_output_0']
68	Erf	/decoder/convnext.3/act/Erf	['/decoder/convnext.3/act/Div_output_0']	['/decoder/convnext.3/act/Erf_output_0']
69	Add	/decoder/convnext.3/act/Add	['/decoder/convnext.3/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.3/act/Add_output_0']
70	Mul	/decoder/convnext.3/act/Mul	['/decoder/convnext.3/pwconv1/Conv_output_0', '/decoder/convnext.3/act/Add_output_0']	['/decoder/convnext.3/act/Mul_output_0']
71	Mul	/decoder/convnext.3/act/Mul_1	['/decoder/convnext.3/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.3/act/Mul_1_output_0']
72	Conv	/decoder/convnext.3/pwconv2/Conv	['/decoder/convnext.3/act/Mul_1_output_0', 'tts.ae.decoder.convnext.3.pwconv2.weight', 'tts.ae.decoder.convnext.3.pwconv2.bias']	['/decoder/convnext.3/pwconv2/Conv_output_0']
73	Mul	/decoder/convnext.3/Mul	['tts.ae.decoder.convnext.3.gamma', '/decoder/convnext.3/pwconv2/Conv_output_0']	['/decoder/convnext.3/Mul_output_0']
74	Add	/decoder/convnext.3/Add	['/decoder/convnext.2/Add_output_0', '/decoder/convnext.3/Mul_output_0']	['/decoder/convnext.3/Add_output_0']
75	Pad	/decoder/convnext.4/dwconv/Pad	['/decoder/convnext.3/Add_output_0', '/decoder/convnext.1/dwconv/Cast_output_0']	['/decoder/convnext.4/dwconv/Pad_output_0']
76	Conv	/decoder/convnext.4/dwconv/net/Conv	['/decoder/convnext.4/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.4.dwconv.net.weight', 'tts.ae.decoder.convnext.4.dwconv.net.bias']	['/decoder/convnext.4/dwconv/net/Conv_output_0']
77	Transpose	/decoder/convnext.4/norm/Transpose	['/decoder/convnext.4/dwconv/net/Conv_output_0']	['/decoder/convnext.4/norm/Transpose_output_0']
78	LayerNormalization	/decoder/convnext.4/norm/norm/LayerNormalization	['/decoder/convnext.4/norm/Transpose_output_0', 'tts.ae.decoder.convnext.4.norm.norm.weight', 'tts.ae.decoder.convnext.4.norm.norm.bias']	['/decoder/convnext.4/norm/norm/LayerNormalization_output_0']
79	Transpose	/decoder/convnext.4/norm/Transpose_1	['/decoder/convnext.4/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.4/norm/Transpose_1_output_0']
80	Conv	/decoder/convnext.4/pwconv1/Conv	['/decoder/convnext.4/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.4.pwconv1.weight', 'tts.ae.decoder.convnext.4.pwconv1.bias']	['/decoder/convnext.4/pwconv1/Conv_output_0']
81	Div	/decoder/convnext.4/act/Div	['/decoder/convnext.4/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.4/act/Div_output_0']
82	Erf	/decoder/convnext.4/act/Erf	['/decoder/convnext.4/act/Div_output_0']	['/decoder/convnext.4/act/Erf_output_0']
83	Add	/decoder/convnext.4/act/Add	['/decoder/convnext.4/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.4/act/Add_output_0']
84	Mul	/decoder/convnext.4/act/Mul	['/decoder/convnext.4/pwconv1/Conv_output_0', '/decoder/convnext.4/act/Add_output_0']	['/decoder/convnext.4/act/Mul_output_0']
85	Mul	/decoder/convnext.4/act/Mul_1	['/decoder/convnext.4/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.4/act/Mul_1_output_0']
86	Conv	/decoder/convnext.4/pwconv2/Conv	['/decoder/convnext.4/act/Mul_1_output_0', 'tts.ae.decoder.convnext.4.pwconv2.weight', 'tts.ae.decoder.convnext.4.pwconv2.bias']	['/decoder/convnext.4/pwconv2/Conv_output_0']
