idx	op_type	name	inputs	outputs
58	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_13	['/vector_field/main_blocks.3/attn/Gather_1_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_13_output_0']
59	Equal	/vector_field/main_blocks.3/attn/Equal	['/vector_field/main_blocks.3/attn/Transpose_1_output_0', '/vector_field/main_blocks.3/attn/Constant_44_output_0']	['/vector_field/main_blocks.21/attn/Cast_2_output_0']
60	Unsqueeze	/vector_field/main_blocks.5/attention/Unsqueeze_4	['/vector_field/main_blocks.5/attention/Split_2_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.5/attention/Unsqueeze_4_output_0']
61	Unsqueeze	/vector_field/main_blocks.5/attention/Unsqueeze_5	['/vector_field/main_blocks.5/attention/Split_2_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.5/attention/Unsqueeze_5_output_0']
62	Split	/vector_field/main_blocks.9/attn/Split_1	['/vector_field/main_blocks.9/attn/W_key/linear/Add_output_0', '/vector_field/main_blocks.3/attn/Constant_5_output_0']	['/vector_field/main_blocks.9/attn/Split_1_output_0', '/vector_field/main_blocks.9/attn/Split_1_output_1', '/vector_field/main_blocks.9/attn/Split_1_output_2', '/vector_field/main_blocks.9/attn/Split_1_output_3']
63	Split	/vector_field/main_blocks.9/attn/Split_2	['/vector_field/main_blocks.9/attn/W_value/linear/Add_output_0', '/vector_field/main_blocks.3/attn/Constant_5_output_0']	['/vector_field/main_blocks.9/attn/Split_2_output_0', '/vector_field/main_blocks.9/attn/Split_2_output_1', '/vector_field/main_blocks.9/attn/Split_2_output_2', '/vector_field/main_blocks.9/attn/Split_2_output_3']
64	Unsqueeze	/vector_field/main_blocks.11/attention/Unsqueeze_4	['/vector_field/main_blocks.11/attention/Split_2_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.11/attention/Unsqueeze_4_output_0']
65	Unsqueeze	/vector_field/main_blocks.11/attention/Unsqueeze_5	['/vector_field/main_blocks.11/attention/Split_2_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.11/attention/Unsqueeze_5_output_0']
66	Split	/vector_field/main_blocks.15/attn/Split_1	['/vector_field/main_blocks.15/attn/W_key/linear/Add_output_0', '/vector_field/main_blocks.3/attn/Constant_5_output_0']	['/vector_field/main_blocks.15/attn/Split_1_output_0', '/vector_field/main_blocks.15/attn/Split_1_output_1', '/vector_field/main_blocks.15/attn/Split_1_output_2', '/vector_field/main_blocks.15/attn/Split_1_output_3']
67	Split	/vector_field/main_blocks.15/attn/Split_2	['/vector_field/main_blocks.15/attn/W_value/linear/Add_output_0', '/vector_field/main_blocks.3/attn/Constant_5_output_0']	['/vector_field/main_blocks.15/attn/Split_2_output_0', '/vector_field/main_blocks.15/attn/Split_2_output_1', '/vector_field/main_blocks.15/attn/Split_2_output_2', '/vector_field/main_blocks.15/attn/Split_2_output_3']
68	Unsqueeze	/vector_field/main_blocks.17/attention/Unsqueeze_4	['/vector_field/main_blocks.17/attention/Split_2_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.17/attention/Unsqueeze_4_output_0']
69	Unsqueeze	/vector_field/main_blocks.17/attention/Unsqueeze_5	['/vector_field/main_blocks.17/attention/Split_2_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.17/attention/Unsqueeze_5_output_0']
70	Split	/vector_field/main_blocks.21/attn/Split_1	['/vector_field/main_blocks.21/attn/W_key/linear/Add_output_0', '/vector_field/main_blocks.3/attn/Constant_5_output_0']	['/vector_field/main_blocks.21/attn/Split_1_output_0', '/vector_field/main_blocks.21/attn/Split_1_output_1', '/vector_field/main_blocks.21/attn/Split_1_output_2', '/vector_field/main_blocks.21/attn/Split_1_output_3']
71	Split	/vector_field/main_blocks.21/attn/Split_2	['/vector_field/main_blocks.21/attn/W_value/linear/Add_output_0', '/vector_field/main_blocks.3/attn/Constant_5_output_0']	['/vector_field/main_blocks.21/attn/Split_2_output_0', '/vector_field/main_blocks.21/attn/Split_2_output_1', '/vector_field/main_blocks.21/attn/Split_2_output_2', '/vector_field/main_blocks.21/attn/Split_2_output_3']
72	Unsqueeze	/vector_field/main_blocks.23/attention/Unsqueeze_4	['/vector_field/main_blocks.23/attention/Split_2_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.23/attention/Unsqueeze_4_output_0']
73	Unsqueeze	/vector_field/main_blocks.23/attention/Unsqueeze_5	['/vector_field/main_blocks.23/attention/Split_2_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.23/attention/Unsqueeze_5_output_0']
74	Unsqueeze	/vector_field/time_encoder/sinusoidal/Unsqueeze	['/vector_field/time_encoder/sinusoidal/Reshape_output_0', '/Constant_5_output_0']	['/vector_field/time_encoder/sinusoidal/Unsqueeze_output_0']
75	Pad	/vector_field/main_blocks.0/convnext.0/dwconv/Pad	['/vector_field/main_blocks.0/convnext.0/Mul_output_0', '/vector_field/main_blocks.0/convnext.0/dwconv/Cast_output_0']	['/vector_field/main_blocks.0/convnext.0/dwconv/Pad_output_0']
76	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_4	['/vector_field/main_blocks.3/attn/Split_1_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_4_output_0']
77	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_5	['/vector_field/main_blocks.3/attn/Split_1_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_5_output_0']
78	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_6	['/vector_field/main_blocks.3/attn/Split_1_output_2', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_6_output_0']
79	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_7	['/vector_field/main_blocks.3/attn/Split_1_output_3', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_7_output_0']
80	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_8	['/vector_field/main_blocks.3/attn/Split_2_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_8_output_0']
81	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_9	['/vector_field/main_blocks.3/attn/Split_2_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_9_output_0']
82	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_10	['/vector_field/main_blocks.3/attn/Split_2_output_2', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_10_output_0']
83	Unsqueeze	/vector_field/main_blocks.3/attn/Unsqueeze_11	['/vector_field/main_blocks.3/attn/Split_2_output_3', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.3/attn/Unsqueeze_11_output_0']
84	Slice	/vector_field/main_blocks.3/attn/Slice	['tts.ttl.vector_field.main_blocks.3.attn.increments', '/vector_field/main_blocks.3/attn/Constant_40_output_0', '/vector_field/main_blocks.3/attn/Unsqueeze_12_output_0', '/Constant_5_output_0', '/Constant_5_output_0']	['/vector_field/main_blocks.3/attn/Slice_output_0']
85	Slice	/vector_field/main_blocks.3/attn/Slice_3	['tts.ttl.vector_field.main_blocks.3.attn.increments', '/vector_field/main_blocks.3/attn/Constant_40_output_0', '/vector_field/main_blocks.3/attn/Unsqueeze_13_output_0', '/Constant_5_output_0', '/Constant_5_output_0']	['/vector_field/main_blocks.3/attn/Slice_3_output_0']
86	Concat	/vector_field/main_blocks.5/attention/Concat_2	['/vector_field/main_blocks.5/attention/Unsqueeze_4_output_0', '/vector_field/main_blocks.5/attention/Unsqueeze_5_output_0']	['/vector_field/main_blocks.5/attention/Concat_2_output_0']
87	Unsqueeze	/vector_field/main_blocks.9/attn/Unsqueeze_4	['/vector_field/main_blocks.9/attn/Split_1_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.9/attn/Unsqueeze_4_output_0']
88	Unsqueeze	/vector_field/main_blocks.9/attn/Unsqueeze_5	['/vector_field/main_blocks.9/attn/Split_1_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.9/attn/Unsqueeze_5_output_0']
89	Unsqueeze	/vector_field/main_blocks.9/attn/Unsqueeze_6	['/vector_field/main_blocks.9/attn/Split_1_output_2', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.9/attn/Unsqueeze_6_output_0']
90	Unsqueeze	/vector_field/main_blocks.9/attn/Unsqueeze_7	['/vector_field/main_blocks.9/attn/Split_1_output_3', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.9/attn/Unsqueeze_7_output_0']
91	Unsqueeze	/vector_field/main_blocks.9/attn/Unsqueeze_8	['/vector_field/main_blocks.9/attn/Split_2_output_0', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.9/attn/Unsqueeze_8_output_0']
92	Unsqueeze	/vector_field/main_blocks.9/attn/Unsqueeze_9	['/vector_field/main_blocks.9/attn/Split_2_output_1', '/vector_field/main_blocks.3/attn/Constant_40_output_0']	['/vector_field/main_blocks.9/attn/Unsqueeze_9_output_0']
